run,run_type,filename,BCM2_Q,ps5,ps6,h_esing_Eff,p_esing_Eff,hDead,pDead
25083,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25083_-1.root,21.398,-1,1,0.9986,0.9892,1,1
25084,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25084_-1.root,43.99,-1,1,0.9985,0.9894,1,1
25085,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25085_-1.root,26.493,-1,1,0.9985,0.9898,1,1
25086,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25086_-1.root,35.588,1,-1,0.9984,0.989,1,1
25087,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25087_-1.root,15.04,-1,1,0.9987,0.989,1,1
25088,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25088_-1.root,16.256,-1,1,0.9984,0.9908,1,1
25091,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25091_-1.root,4.107,-1,1,0.9989,0.9886,1,1
25114,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25114_-1.root,47.548,-1,1,0.9985,0.9875,1,1
25115,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25115_-1.root,47.446,-1,1,0.9984,0.9863,1,1
25116,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25116_-1.root,46.228,-1,1,0.9985,0.9864,1,1
25117,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25117_-1.root,20.667,-1,1,0.9984,0.9906,1,1
25119,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25119_-1.root,22.828,-1,1,0.9985,0.9896,1,1
25049,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25049_-1.root,65.728,-1,1,0.9985,0.9857,1,1
25050,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25050_-1.root,71.965,-1,1,0.9984,0.9859,1,1
25051,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25051_-1.root,40.951,1,-1,0.9984,0.986,1,1
25052,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25052_-1.root,43.088,-1,1,0.9983,0.9889,1,1
25053,data,/Users/juliogutierrez/OneDrive - University of Tennessee/R-sidis_analysis/pass0/ROOTfiles/skimmed_coin_replay_production_25053_-1.root,21.66,-1,1,0.9983,0.9899,1,1
